company_name,world_rank,headquarter,market cap(Billion USD),business_sector
PETROCHINA COMPANY,56,China,196.03,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service"
ABBOTT LABORATORIES,57,USA,192.02,"Healthcare, Medical Equipment, HealthCare Products, Machinery Manufacturing, Capital Goods"
DANAHER CORPORATION,58,USA,190.14,"Basic Materials, Chemicals, Industrial Gases"
LINDE AG,59,"UK, Ireland",189.28,"Communication Services, Electronics, Internet or Mobile App Based Business, Media, Advertising"
NETFLIX,60,USA,188.56,"Communication Services, Television Services, Broadcasting, Telecom, Internet Providers"
COMCAST CORPORATION,61,USA,182.57,"Communication Services, Telecom, Internet Providers, Mobile Services, Fixed Line Service"
CHINA MOBILE,62,China,181.91,"Technology, Technology Hardware and Instruments, Processors / Chips, Semiconductors, Electronics"
ADVANCED MICRO DEVICES (AMD),63,USA,169.62,"Financial Services, Banking Services"
AGRICULTURAL BANK OF CHINA,64,China,169.23,"Financial Services, Banking Services, Insurance, Credit Cards, Asset Management"
WELLS FARGO & COMPANY,65,USA,169.03,"Communication Services, Telecom, Mobile Services, Internet Providers, Utilities"
T-MOBILE US,66,USA,166.95,"Shoes, Footwear, Sports Goods, Consumer Non Durables"
NIKE,67,USA,165,"Financial Services, Banking Services, Insurance, Asset Management"
HSBC HOLDINGS,68,UK,161.96,"Technology, Semiconductors, Electronics, Processors / Chips, Sensors"
TEXAS INSTRUMENTS,69,USA,161.38,"Industries, Courier, Logistics, Transportation, Freight Transport"
UNITED PARCEL SERVICE (UPS),70,USA,159.03,"Technology, Software and IT, Software Products, Internet of Things, Cloud Services"
SAP SE,71,Germany,157.84,"Retail, Luxury Goods, Fashion and Luxury Goods, Watches, Beauty and Personal Care"
CHRISTIAN DIOR,72,France,157.38,"Communication Services, Broadcasting, Television Services, Media, Advertising"
THE WALT DISNEY COMPANY,73,USA,155.2,"Basic Materials, Metals, Mining, Iron and Steel, Oil and Gas"
BHP GROUP,74,Australia,155,"Tobacco Products, Cigarettes, Agriculture Products, FMCG, Consumer Non Durables"
PHILIP MORRIS INTERNATIONAL,75,USA,154.2,"Technology, Software and IT, Technology Hardware and Instruments, Processors / Chips, Computers Hardware"
INTEL CORPORATION,76,USA,151.91,"Financial Services, Banking Services, Trading, Brokerage Services, Wealth Management"
MORGAN STANLEY,77,USA,150.71,"Financial Services, Banking Services"
HDFC BANK,78,India,149.3,"Technology, Software and IT, Software Consulting Services, Software Outsourcing Services, Software Products"
TATA CONSULTANCY SERVICES (TCS),79,India,147.41,"Utilities, Electricity Generation, Electric Utilities, Utilities, Renewable Energy"
NEXTERA ENERGY,80,USA,146.29,"Financial Services, Banking Services"
CHINA CONSTRUCTION BANK CORPORATION,81,China,145.52,"Financial Services, Banking Services, Insurance, Asset Management"
BANK OF CHINA,82,China,145.24,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Power Generation"
TOTALENERGIES SE,83,France,144.24,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Telecom Equipment"
QUALCOMM,84,USA,143.59,"Industries, Aeroplane, Defense Products, Rockets, Missiles"
BOEING COMPANY,85,USA,143.35,"Technology, Software and IT, Software Products"
INTUIT,86,USA,143.06,"Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers"
VERIZON COMMUNICATIONS,87,USA,141.92,"Industries, Freight Transport, Transportation, Railway, Railway Vehicles and Railway Components"
UNION PACIFIC CORPORATION,88,USA,141.44,"Industries, Batteries, Automobile Parts, Electronics, Technology"
CONTEMPORARY AMPEREX TECHNOLOGY,89,China,140.28,"Telecom, Telecom Equipment, Technology, Technology Hardware and Instruments, Mobiles"
HUAWEI,89,China,137.76,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Coal Mining"
CONOCOPHILLIPS COMPANY,90,USA,137.07,"Retail, Home Furnishing, Home & Furniture, Consumer Services"
LOWE'S COMPANIES,91,USA,136.38,"Financial Services, Banking Services, Wealth Management, Asset Management, Credit Cards"
ROYAL BANK OF CANADA,92,Canada,134.75,"FMCG, Beauty and Personal Care, Food Products, Home Care Products, Consumer Non Durables"
UNILEVER GROUP,93,"Netherlands, UK",134.47,"Industries, Infrastructure, Technology Hardware and Instruments, Software and IT, Railway Vehicles and Railway Components"
SIEMENS,94,Germany,133.59,"Industries, Agriculture Machinery, Machinery Manufacturing, Construction Equipment, Commercial Vehicles"
CATERPILLAR,95,USA,130.89,"Financial Services, Banking Services, Insurance"
PING AN INSURANCE (GROUP) COMPANY OF CHINA,96,China,130.68,"Healthcare, Pharmaceutical, HealthCare Products"
SANOFI,97,France,129.93,"Technology, Software and IT, Software Products, Computers Hardware, Laptops"
IBM,98,USA,129.01,"Industries, Software Products, Technology Hardware and Instruments, Aerospace Products, Building Automation"
HONEYWELL INTERNATIONAL,99,USA,128.22,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products"
BRISTOL-MYERS SQUIBB COMPANY,100,USA,127.62,"Financial Services, Investments, Asset Management"
BLACKSTONE GROUP,101,USA,127.58,"Industries, Aerospace and Defense, Aerospace Products, Aircraft Parts, Defense Products"
RAYTHEON TECHNOLOGIES CORPORATION,102,USA,127.02,"Power Equipment, Mobiles & Accessories, Semiconductors"
APPLIED MATERIALS,103,USA,126.3,"Retail, Super Markets, Hypermarkets"
SCHWARZ GROUP,103,Germany,125.81,"Financial Services, Banking Services, Asset Management, Credit Cards"
CHINA MERCHANTS BANK,104,China,125.22,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products"
AMGEN,105,USA,124.5,"Financial Services, Investments, Trading, Stock Markets, Trading, Capital Markets"
S&P GLOBAL,106,USA,121.83,"Industries, Agriculture Machinery, Construction Equipment, Commercial Vehicles, Engineering Products"
DEERE & COMPANY,107,USA,120.05,"Industries, Aircraft Parts, Aerospace Products, HealthCare Products, Aerospace and Defense"
GENERAL ELECTRIC COMPANY,108,USA,119.81,"Financial Services, Banking Services, Credit Cards, Technology, Digital Payment Solution Services"
AMERICAN EXPRESS COMPANY,109,USA,119.8,"Financial Services, Banking Services, Brokerage Services, Asset Management, Investments"
THE CHARLES SCHWAB CORPORATION,111,USA,118.71,"Retail, Readymade Clothing"
INDITEX (INDUSTRIA DE DISENO TEXTIL),112,Spain,118.55,"Financial Services, Banking Services, Insurance"
TORONTO-DOMINION BANK,113,Canada,118.43,"Social Media, Internet or Mobile App Based Business, Technology, Artificial Intelligence"
YOUTUBE,113,USA,117.43,"eCommerce, Internet or Mobile App Based Business, Software and IT, Retail"
PINDUODUO,114,China,117.41,"Financial Services, Banking Services, Insurance"
CHINA LIFE INSURANCE COMPANY,115,China,116.57,"Financial Services, Banking Services"
COMMONWEALTH BANK OF AUSTRALIA,116,Australia,116.07,"Financial Services, Banking Services, Asset Management, Investments, Brokerage Services"
THE GOLDMAN SACHS GROUP,117,USA,116.07,"Food Products, Animal Feed, Chocolate & Confectionery, Beverages"
MARS INC,117,USA,116.04,"Healthcare, Medical Equipment, Biotechnology, Electronics, HealthCare Products"
MEDTRONIC,118,Ireland,115.34,"Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages"
ANHEUSER-BUSCH INBEV,119,Belgium,115.2,"Industries, Aerospace and Defense, Aeroplane, Defense Products, Helicoptors"
AIRBUS,120,Netherlands,114.73,"Restaurants, Retail, Non-Alcoholic Beverages, Coffee, Beverages"
STARBUCKS CORPORATION,121,USA,114.54,"Food and Beverage, Alcoholic Beverages, Beer, Non-Alcoholic Beverages"
REYES HOLDINGS,121,USA,114.19,"Technology, Cloud Services, Software and IT, Software Products, Artificial Intelligence"
SERVICENOW,122,USA,113.96,"Technology, Electronics, Mobiles, Gaming, Video Games / Mobile Games / Tech Games / Casino Games"
SONY CORPORATION,123,Japan,113.07,"Financial Services, Insurance"
AIA GROUP,124,Hong Kong,111.25,"Healthcare, Medical Equipment, HealthCare Products, Robotics"
INTUITIVE SURGICAL,125,USA,110.31,"Technology, Sensors, Machinery Manufacturing, Technology Hardware and Instruments, Electronics"
KEYENCE CORPORATION,126,Japan,110.06,"Real Estate, Property Investments, Investments, Consumer Services"
PROLOGIS,127,USA,109.66,"Internet or Mobile App Based Business, Software and IT, Retail, eCommerce"
MEITUAN DIANPING,128,China,107.43,"Industries, Aerospace Products, Defense Products, Aerospace and Defense, Missiles"
LOCKHEED MARTIN CORPORATION,129,USA,107.23,"Internet or Mobile App Based Business, Travel and Transport, eCommerce, Business Services"
BOOKING HOLDINGS,130,USA,106.21,"Financial Services, Asset Management, Investments"
BLACKROCK,131,USA,106,"Insurance, Financial Services"
STATE FARM,131,USA,103.53,"Healthcare, Insurance, Financial Services"
ELEVANCE HEALTH INC.,132,USA,103.3,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers"
DEUTSCHE TELEKOM AG,133,Germany,102.19,"Healthcare, Medical Equipment, HealthCare Products"
STRYKER CORPORATION,134,USA,100.26,"Basic Materials, Metals, Mining, Aluminum, Iron and Steel"
RIO TINTO GROUP,135,UK,99.812,"Automobile, Bus Manufacturing, Trucks, Manufacturing, Electric Vehicles"
BYD COMPANY,136,China,99.774,"Energy, Oil and Gas, Petrochemicals, Chemicals, Electric Vehicle Charging Station"
BP P.L.C.,137,UK,99.491,"Industries, Software Products, Software and IT, Technology, Outsourcing and Staffing"
AUTOMATIC DATA PROCESSING (ADP),138,USA,98.386,"Telecom, Communication Services, Internet Providers, Mobile Services, Fixed Line Service"
AT&T,139,USA,98.326,"Asset Management, Investments, Financial Services, Mutual Funds, Brokerage Services"
VANGUARD GROUP,139,USA,97.738,"Food Products, Beverages, Non-Alcoholic Beverages, Dairy Products, Chocolate & Confectionery"
MONDELEZ INTERNATIONAL,140,USA,97.427,"Power Equipment, Automation, Building Automation, Industrial Automation, Industrial Electrical Electronics"
SCHNEIDER ELECTRIC,141,France,97.174,"Retail, Clothing, Readymade Clothing, Footwear, Beauty and Personal Care"
THE TJX COMPANIES,142,USA,97.1,"Beverages, Alcoholic Beverages, FMCG, Consumer Non Durables"
DIAGEO,143,UK,96.894,"Technology, Electronics, Semiconductors, Power Systems, Power Generation"
ANALOG DEVICES,144,USA,96.746,"Alcoholic Beverages, Beverages"
WULIANGYE YIBIN,145,China,96.637,"Energy, Oil and Gas, Metals, Mining, Chemicals"
KOCH INDUSTRIES,145,USA,95.871,"Technology, Social Media, Internet or Mobile App Based Business"
BYTEDANCE,145,China,95.652,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers"
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,146,Japan,94.477,"Communication Services, Telecom, Mobile Services"
NTT DOCOMO,147,Japan,93.288,"Technology, Transportation, Consumer Services, Software and IT, Software Products"
UBER TECHNOLOGIES,148,USA,93.026,"Energy, Oil and Gas, Chemicals, Petrochemicals, Fertilizers"
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),149,China,92.826,"Financial Services, Insurance, Asset Management"
ALLIANZ SE,150,Germany,91.297,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Processors / Chips"
LAM RESEARCH CORPORATION,151,USA,91.186,"Financial Services, Banking Services, Asset Management, Wealth Management, Credit Cards"
MITSUBISHI UFJ FINANCIAL GROUP,152,Japan,89.758,"Internet or Mobile App Based Business, Rent / Lease Services, Consumer Services"
AIRBNB,153,USA,88.068,"Healthcare, Biotechnology, Biopharmaceutical, Pharmaceutical, HealthCare Products"
GILEAD SCIENCES,154,USA,87.755,"Healthcare, Pharmacy, Healthcare Service, Retail, HealthCare Products"
CVS HEALTH CORPORATION,155,USA,87.294,"Basic Materials, Chemicals, Gas Supply, Engineering Products, Engineering Services"
AIR LIQUIDE,156,France,87.199,"Financial Services, Healthcare Service, Insurance, Investments"
MARSH & MCLENNAN COMPANIES,157,USA,86.768,"Energy, Oil and Gas, Petrochemicals, Petroleum, Natural Gas Generation"
EQUINOR ASA,158,Norway,86.424,"Luxury Goods, Watches, Leather Products, Clothing, Readymade Clothing"
COMPAGNIE FINANCIERE RICHEMONT SA,159,Switzerland,85.312,"Financial Services, Banking Services, Asset Management"
CITI GROUP,160,USA,84.679,"Healthcare, Pharmaceutical, Biotechnology, Biopharmaceutical, HealthCare Products"
VERTEX PHARMACEUTICALS,161,USA,84.463,"Healthcare, Eyewear, Retail, Consumer Goods, Medical Equipment"
ESSILOR LUXOTTICA,162,France,82.54,"Real Estate, Cell Towers Infrastructure, Infrastructure, Consumer Services, Property Investments"
AMERICAN TOWER CORPORATION (REIT),163,USA,82.213,"Technology, Engineering Products, Technology Hardware and Instruments, Electronics, Automobile Parts"
ROBERT BOSCH,163,Germany,81.855,"Healthcare, Pharmaceutical, Healthcare Service, Animal Health Medicine, Animal Healthcare Companies"
ZOETIS,164,USA,81.221,"Energy, Oil and Gas, Electricity Generation, Petrochemicals, Fertilizers"
PETROLEO BRASILEIRO - PETROBRAS,165,Brazil,81.201,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Technology"
CSL,166,Australia,81.035,"Automobile, Cars, Trucks, Commercial Vehicles, Passenger Vehicles"
MERCEDEC BENZ GROUP AG,167,Germany,80.835,"Healthcare, Insurance, Healthcare Service, HealthCare Products"
CIGNA CORPORATION,168,USA,80.425,"Financial Services, Insurance"
CHUBB,169,Switzerland,79.949,"Financial Services, Banking Services, Wealth Management, Credit Cards, Private Bank"
ICICI BANK,170,India,79.615,"Technology, Software and IT, Software Products, Cloud Services, eCommerce"
SHOPIFY,171,Canada,79.063,"Automobile, Cars, Passenger Vehicles"
AUDI AG,171,Germany,79.036,"Business Services, Professional Services, Consulting Services, Accounting and Auditing"
DELOITTE,171,UK,79.018,"Financial Services, Digital Payment Solution Services, Internet or Mobile App Based Business, Software Products, Business Services"
PAYPAL HOLDINGS,172,USA,78.943,"Jewellery, Watches, Consumer Goods, Luxury Goods"
SWATCH GROUP AG,173,Switzerland,78.89,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products"
REGENERON PHARMACEUTICALS,174,USA,77.985,"Agriculture Products, Agriculture Related, Food Products, Meat / Poultry / Fish / Chicken, Trading"
CARGILL,174,USA,77.392,"Energy, Oil and Gas, Oil Field Services"
SCHLUMBERGER,175,USA,77.158,"Tobacco Products, Cigarettes, Beverages, Alcoholic Beverages, FMCG"
ALTRIA GROUP,176,USA,77.158,"Industries, Electrical Products, Technology Hardware and Instruments, Power Management Tools, Technology"
EATON CORPORATION,177,Ireland,76.867,"Automobile, Cars, Luxury Goods, Passenger Vehicles"
BAYERISCHE MOTOREN WERKE (BMW),178,Germany,76.518,"Financial Services, Banking Services"
AL RAJHI BANKING AND INVESTMENT CORPORATION,179,Saudi Arabia,76.441,"Industries, Transportation, Freight Transport, Rail Transport, Railway"
CANADIAN NATIONAL RAILWAY COMPANY,180,Canada,75.987,"Healthcare, Medical Equipment, HealthCare Products, Medical Ventilators"
BECTON DICKINSON AND COMPANY,181,USA,75.749,"Financial Services, Banking Services, Asset Management, Wealth Management, Mortgage"
BNP PARIBAS,182,France,75.168,"Utilities, Electric Utilities, Energy"
IBERDROLA,183,Spain,74.74,"Industries, Machinery Manufacturing, Automobile Parts, Home Appliances, Electrical Products"
ILLINOIS TOOL WORKS,184,USA,74.572,"Energy, Oil and Gas, Natural Gas Generation"
CNOOC LIMITED,185,China,74.522,"Utilities, Electricity Generation, Power Generation, Energy, Natural Gas Generation"
THE SOUTHERN COMPANY,186,USA,74.315,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Memory Products"
MICRON TECHNOLOGY,187,USA,74.248,"Industries, Railway, Railway Operating Company, Rail Transport, Transportation"
CANADIAN PACIFIC RAILWAY,188,Canada,74.242,"Financial Services, Software and IT, Digital Payment Solution Services, Technology, Software Products"
FISERV,189,USA,73.933,"Energy, Oil and Gas"
FRANK'S INTERNATIONAL,190,Netherlands,73.739,"Healthcare, Pharmaceutical, Chemicals, HealthCare Products"
MERCK KGAA,191,Germany,73.617,"Tobacco Products, Cigarettes, FMCG, Agriculture Products, Consumer Non Durables"
BRITISH AMERICAN TOBACCO,192,UK,73.399,"Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Petroleum"
EOG RESOURCES,193,USA,73.18,"Professional Services, Consulting Services, Business Services, Accounting and Auditing"
PRICEWATERHOUSECOOPERS,193,UK,73.172,"Technology, Software and IT, Network Hardware and Software, Electronics, Computers Hardware"
PALO ALTO NETWORKS,194,USA,73.048,"Retail, Clothing"
FAST RETAILING,195,Japan,72.743,"Healthcare, Hospitals, HealthCare Products, Healthcare Service"
HCA HEALTHCARE,196,USA,72.739,"Automobile, Cars, Commercial Vehicles, Sports Vehicles, Passenger Vehicles"
VOLKSWAGEN,197,Germany,72.563,"Real Estate, Data Centers, Cloud Services, Technology Hardware and Instruments, Technology"
EQUINIX,198,USA,72.517,"Industries, Electronics, Electrical Products, Engineering Products, Technology Hardware and Instruments"
ABB,199,Switzerland,72.382,"Healthcare, Medical Equipment, HealthCare Products"
BOSTON SCIENTIFIC CORPORATION,200,USA,72.24,"Retail, Super Markets, Hypermarkets"
PUBLIX,200,USA,71.933,"Basic Materials, Metals, Mining, Trading, Commodities Trading"
GLENCORE,201,Switzerland,71.735,"Financial Services, Banking Services, Credit Cards"
PT BANK CENTRAL ASIA TBK,202,Indonesia,71.626,"FMCG, Food Products, Personal Care Products, Consumer Goods"
HINDUSTAN UNILEVER,203,India,71.414,"Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Oil and Gas Pipeline Transport"
GAZPROM,204,Russia,71.015,"Energy, Oil and Gas, Natural Gas Generation, Gas Utilities, Utilities"
ENBRIDGE,204,Canada,70.872,"Communication Services, Investments, Telecom, Internet Providers, Fixed Line Service"
SOFTBANK GROUP,205,Japan,70.854,"Retail, Super Markets, Hypermarkets"
WAL-MART DE MEXICO,206,Mexico,70.817,"Financial Services, Insurance"
PROGRESSIVE CORPORATION,207,USA,70.384,"Energy, Mining, Coal Mining"
CHINA SHENHUA ENERGY COMPANY,208,China,70.289,"Utilities, Electricity Generation, Electric Utilities, Energy"
CHINA YANGTZE POWER,209,China,70.127,"Communication Services, Software and IT, Software Products, Video Games / Mobile Games / Tech Games / Casino Games, Gaming"
ACTIVISION BLIZZARD,210,USA,70.11,"Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers"
AMERICA MOVIL,211,Mexico,69.9,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology"
GLAXOSMITHKLINE,212,UK,69.198,"Telecom, Mobile Services, Internet Providers"
RELIANCE JIO,212,India,69.154,"Financial Services, Banking Services, Asset Management"
UBS GROUP AG,213,Switzerland,68.609,"Financial Services, Insurance"
ZURICH INSURANCE GROUP AG,214,Switzerland,68.288,"Basic Materials, Paints and Coatings, Construction Materials, Retail, Consumer Services"
SHERWIN-WILLIAMS COMPANY,215,USA,67.925,"Utilities, Electric Utilities, Electricity Generation, Power Generation, Energy"
DUKE ENERGY CORPORATION,216,USA,67.846,"Financial Services, Securities, Trading, Brokerage Services, Investments"
CME GROUP,217,USA,67.814,"Luxury Goods, Leather Products, Clothing, Eyewear, Watches"
KERING,218,France,67.795,"Technology, Semiconductors, Electronics, Memory Products, Processors / Chips"
SK HYNIX,219,South Korea,67.532,"Tobacco Products, Cigarettes, Hotels, Food Products, Agriculture Products"
ITC,220,India,67.4,"Industries, Aerospace Products, Defense Products, Rockets, Satellites"
SAFRAN,221,France,67.399,"Industries, Chemicals, Energy, Financial Services, Oil and Gas"
MITSUBISHI CORPORATION,222,Japan,67.358,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services"
INFOSYS,223,India,66.834,"Financial Services, Insurance, Asset Management"
AXA,224,France,66.384,"Utilities, Electric Utilities, Gas Utilities, Electricity Generation, Power Generation"
ENEL,225,Italy,66.287,"Communication Services, Internet or Mobile App Based Business, Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Software and IT"
NETEASE,226,China,66.216,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Capital Goods"
KLA CORPORATION,227,USA,65.971,"Financial Services, Banking Services"
PSBC (POSTAL SAVINGS BANK OF CHINA),228,China,65.962,"Basic Materials, Chemicals, Petrochemicals, Fertilizers"
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),229,Saudi Arabia,65.884,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments"
TOKYO ELECTRON LIMITED,230,Japan,65.591,"Technology, Software and IT, Software Products, Technology Hardware and Instruments, Processors / Chips"
SYNOPSYS,231,USA,65.442,"Industries, Aerospace Products, Defense Products, Electronics, Space Products"
NORTHROP GRUMMAN CORPORATION,232,USA,65.322,"Communication Services, Telecom, Mobile Services, Internet Providers, Television Services"
CHINA TELECOM CORPORATION,233,China,65.272,"Technology, Software and IT, Software Products, Network Hardware and Software, Technology"
VMWARE,234,USA,64.86,"Industries, Rail Transport, Real Estate, Transportation, Railway"
CSX CORPORATION,235,USA,64.525,"Industries, Construction, Infrastructure, Construction"
VINCI,236,France,64.492,"Industries, Courier, Logistics, Transportation, Consumer Services"
